pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,wordscore,sentscore,letterscore,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_wordscore,r2_sentscore,r2_letterscore,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
5001059,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,10,1,0,75,1,1,0,1,0,0,1,0,0,62,62,13,0,20,2,40,6,1,14,14,12,8,8,2,18,30,1,1,1,1,1,1,0,1,0,9,24,17,68,5,10,23,12,17,18,9,7,2,35
5001060,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,9,1,0,75,1,1,0,1,0,0,1,0,0,62,62,13,0,22,26,51,7,16,17,17,18,8,8,3,19,37,1,1,1,1,1,1,0,1,0,8,24,30,68,9,18,23,22,22,16,8,6,2,38
5001061,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,10,1,0,75,1,1,0,1,0,0,1,0,0,63,64,13,0,2,0,16,0,0,5,0,2,3,3,0,6,8,1,1,1,1,1,1,0,1,0,10,0,8,19,0,5,7,0,3,8,4,4,0,11
5001062,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,9,1,0,75,1,1,0,1,0,0,1,0,0,64,65,13,0,22,1,46,6,1,16,14,13,8,8,0,16,29,1,1,1,1,1,1,0,1,0,9,24,30,70,8,18,24,19,21,18,8,9,1,39
5001063,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,12,1,0,75,1,1,0,1,0,0,1,0,0,65,66,14,0,8,10,35,4,6,12,10,9,6,4,0,10,19,1,1,1,1,1,1,0,1,0,12,22,30,65,7,18,22,17,20,15,8,5,2,35
5001066,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,13,1,0,75,1,1,0,1,0,0,1,0,-1,69,69,14,0,16,1,29,5,1,10,12,10,6,7,2,15,25,1,1,1,1,1,1,0,1,0,12,22,16,46,8,10,16,19,17,16,8,5,3,33
5001067,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,1,0,0,70,70,14,0,0,0,36,4,0,12,10,5,8,8,3,19,24,1,1,1,1,1,1,0,1,0,10,22,36,70,8,22,24,19,22,18,8,7,3,40
5001068,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,11,1,0,75,1,1,0,1,0,0,1,0,0,71,71,15,0,6,9,48,5,5,16,12,10,8,9,0,17,27,1,1,1,1,1,1,0,1,0,10,24,38,70,7,23,24,17,22,17,9,8,0,39
5001070,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,10,1,0,75,1,1,0,1,0,0,1,0,0,74,74,15,0,16,11,48,5,7,16,12,13,8,8,0,16,29,1,1,1,1,1,1,0,1,0,9,22,30,64,6,18,22,14,19,17,9,5,3,36
5001071,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,10,1,0,75,1,1,0,1,0,0,0,1,1,75,76,16,0,6,0,26,0,0,9,0,4,3,6,2,11,15,1,1,1,1,1,1,0,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
